corner_index,col,row,pixel_x,pixel_y,x_px,y_px,x_mm,y_mm
0,0,0,0.0,0.0,0.0,0.0,10,10
1,1,0,0.0,0.0,0.0,0.0,-10,10
2,0,1,0.0,0.0,0.0,0.0,10,10
3,1,1,0.0,0.0,0.0,0.0,-10,10
4,0,2,0.0,0.0,0.0,0.0,10,10
5,1,2,0.0,0.0,0.0,0.0,-10,10
6,0,3,0.0,0.0,0.0,0.0,10,10
7,1,3,0.0,0.0,0.0,0.0,-10,10
8,0,4,0.0,0.0,0.0,0.0,10,10
9,1,4,0.0,0.0,0.0,0.0,-10,10
10,0,5,0.0,0.0,0.0,0.0,10,10
11,1,5,0.0,0.0,0.0,0.0,-10,10
12,0,6,0.0,0.0,0.0,0.0,10,10
13,1,6,0.0,0.0,0.0,0.0,-10,10
14,0,7,0.0,0.0,0.0,0.0,10,10
15,1,7,0.0,0.0,0.0,0.0,-10,10
16,0,8,0.0,0.0,0.0,0.0,10,10
17,1,8,0.0,0.0,0.0,0.0,-10,10
18,0,9,0.0,0.0,0.0,0.0,10,10
19,1,9,0.0,0.0,0.0,0.0,-10,10
20,0,10,0.0,0.0,0.0,0.0,10,10
21,1,10,0.0,0.0,0.0,0.0,-10,10
22,0,11,0.0,0.0,0.0,0.0,10,10
23,1,11,0.0,0.0,0.0,0.0,-10,10
24,0,12,0.0,0.0,0.0,0.0,10,10
25,1,12,0.0,0.0,0.0,0.0,-10,10
26,0,13,0.0,0.0,0.0,0.0,10,10
27,1,13,0.0,0.0,0.0,0.0,-10,10
28,0,14,0.0,0.0,0.0,0.0,10,10
29,1,14,0.0,0.0,0.0,0.0,-10,10
30,0,15,0.0,0.0,0.0,0.0,10,10
31,1,15,0.0,0.0,0.0,0.0,-10,10
32,0,16,0.0,0.0,0.0,0.0,10,10
33,1,16,0.0,0.0,0.0,0.0,-10,10
34,0,17,0.0,0.0,0.0,0.0,10,10
35,1,17,0.0,0.0,0.0,0.0,-10,10
36,0,18,0.0,0.0,0.0,0.0,10,10
37,1,18,0.0,0.0,0.0,0.0,-10,10
38,0,19,0.0,0.0,0.0,0.0,10,10
39,1,19,0.0,0.0,0.0,0.0,-10,10
