corner_index,col,row,pixel_x,pixel_y,x_px,y_px,x_mm,y_mm
0,0,0,0.0,0.0,0.0,0.0,10,10
1,1,0,0.0,0.0,0.0,0.0,-10,10
2,2,0,0.0,0.0,0.0,0.0,-10,-10
3,3,0,0.0,0.0,0.0,0.0,10,-10
4,0,1,0.0,0.0,0.0,0.0,10,10
5,1,1,0.0,0.0,0.0,0.0,-10,10
6,2,1,0.0,0.0,0.0,0.0,-10,-10
7,3,1,0.0,0.0,0.0,0.0,10,-10
8,0,2,0.0,0.0,0.0,0.0,10,10
9,1,2,0.0,0.0,0.0,0.0,-10,10
10,2,2,0.0,0.0,0.0,0.0,-10,-10
11,3,2,0.0,0.0,0.0,0.0,10,-10
12,0,3,0.0,0.0,0.0,0.0,10,10
13,1,3,0.0,0.0,0.0,0.0,-10,10
14,2,3,0.0,0.0,0.0,0.0,-10,-10
15,3,3,0.0,0.0,0.0,0.0,10,-10
16,0,4,0.0,0.0,0.0,0.0,10,10
17,1,4,0.0,0.0,0.0,0.0,-10,10
18,2,4,0.0,0.0,0.0,0.0,-10,-10
19,3,4,0.0,0.0,0.0,0.0,10,-10
20,0,5,0.0,0.0,0.0,0.0,10,10
21,1,5,0.0,0.0,0.0,0.0,-10,10
22,2,5,0.0,0.0,0.0,0.0,-10,-10
23,3,5,0.0,0.0,0.0,0.0,10,-10
24,0,6,0.0,0.0,0.0,0.0,10,10
25,1,6,0.0,0.0,0.0,0.0,-10,10
26,2,6,0.0,0.0,0.0,0.0,-10,-10
27,3,6,0.0,0.0,0.0,0.0,10,-10
28,0,7,0.0,0.0,0.0,0.0,10,10
29,1,7,0.0,0.0,0.0,0.0,-10,10
30,2,7,0.0,0.0,0.0,0.0,-10,-10
31,3,7,0.0,0.0,0.0,0.0,10,-10
32,0,8,0.0,0.0,0.0,0.0,10,10
33,1,8,0.0,0.0,0.0,0.0,-10,10
34,2,8,0.0,0.0,0.0,0.0,-10,-10
35,3,8,0.0,0.0,0.0,0.0,10,-10
36,0,9,0.0,0.0,0.0,0.0,10,10
37,1,9,0.0,0.0,0.0,0.0,-10,10
38,2,9,0.0,0.0,0.0,0.0,-10,-10
39,3,9,0.0,0.0,0.0,0.0,10,-10
