corner_index,col,row,pixel_x,pixel_y,x_px,y_px,x_mm,y_mm
0,0,0,237.868,85.370,-95.594,161.041,31.412,53.127
1,1,0,267.763,85.051,-65.698,161.360,21.473,53.087
2,2,0,297.703,85.204,-35.758,161.207,11.534,53.047
3,3,0,328.383,84.988,-5.079,161.423,1.595,53.007
4,4,0,358.687,85.003,25.225,161.408,-8.344,52.967
5,5,0,389.185,85.114,55.724,161.297,-18.283,52.927
6,6,0,419.879,85.212,86.417,161.199,-28.222,52.887
7,7,0,450.012,85.406,116.551,161.005,-38.161,52.847
8,8,0,480.945,85.578,147.484,160.833,-48.099,52.807
9,0,1,237.661,114.995,-95.800,131.416,31.453,43.188
10,1,1,267.784,114.996,-65.678,131.415,21.514,43.147
11,2,1,297.981,114.899,-35.481,131.512,11.575,43.107
12,3,1,327.972,114.986,-5.490,131.425,1.636,43.067
13,4,1,358.628,115.099,25.166,131.312,-8.303,43.027
14,5,1,389.169,115.337,55.708,131.074,-18.242,42.987
15,6,1,419.811,115.335,86.350,131.076,-28.181,42.947
16,7,1,450.145,115.462,116.684,130.949,-38.120,42.907
17,8,1,480.546,115.654,147.084,130.758,-48.059,42.867
18,0,2,237.730,144.919,-95.732,101.492,31.494,33.248
19,1,2,267.689,145.036,-65.773,101.375,21.555,33.208
20,2,2,298.005,144.943,-35.457,101.468,11.616,33.168
21,3,2,328.006,145.165,-5.456,101.246,1.677,33.128
22,4,2,358.561,145.270,25.099,101.141,-8.262,33.088
23,5,2,389.082,145.271,55.620,101.140,-18.201,33.047
24,6,2,419.589,145.485,86.127,100.926,-28.140,33.007
25,7,2,449.904,145.439,116.442,100.972,-38.079,32.967
26,8,2,480.696,145.894,147.234,100.517,-48.018,32.927
27,0,3,237.467,175.302,-95.995,71.109,31.534,23.308
28,1,3,267.590,175.478,-65.871,70.934,21.596,23.268
29,2,3,297.677,175.561,-35.785,70.850,11.657,23.228
30,3,3,328.055,175.722,-5.406,70.689,1.718,23.188
31,4,3,358.560,175.733,25.098,70.678,-8.221,23.148
32,5,3,388.978,175.863,55.516,70.548,-18.160,23.108
33,6,3,419.637,175.869,86.175,70.542,-28.099,23.068
34,7,3,449.805,176.179,116.344,70.232,-38.038,23.028
35,8,3,480.432,176.159,146.970,70.252,-47.977,22.988
36,0,4,237.295,205.530,-96.167,40.881,31.575,13.368
37,1,4,267.467,205.676,-65.995,40.735,21.636,13.328
38,2,4,297.704,205.897,-35.758,40.514,11.697,13.288
39,3,4,327.904,205.982,-5.558,40.429,1.759,13.248
40,4,4,358.604,206.257,25.142,40.154,-8.180,13.208
41,5,4,388.849,206.257,55.388,40.154,-18.119,13.168
42,6,4,419.621,206.360,86.159,40.051,-28.058,13.128
43,7,4,449.482,206.320,116.020,40.091,-37.997,13.088
44,8,4,480.462,206.616,147.000,39.795,-47.936,13.048
45,0,5,236.944,235.582,-96.518,10.829,31.616,3.429
46,1,5,267.625,235.953,-65.837,10.458,21.677,3.388
47,2,5,297.832,236.279,-35.629,10.132,11.738,3.348
48,3,5,328.006,236.701,-5.456,9.710,1.799,3.308
49,4,5,358.451,236.850,24.990,9.561,-8.139,3.268
50,5,5,388.844,236.721,55.382,9.690,-18.078,3.228
51,6,5,419.222,236.623,85.760,9.788,-28.017,3.188
52,7,5,449.430,237.014,115.968,9.397,-37.956,3.148
53,8,5,480.168,237.112,146.706,9.299,-47.895,3.108
54,0,6,237.113,266.238,-96.349,-19.827,31.657,-6.511
55,1,6,267.428,266.468,-66.034,-20.057,21.718,-6.551
56,2,6,297.949,266.989,-35.513,-20.578,11.779,-6.591
57,3,6,327.933,266.932,-5.529,-20.521,1.840,-6.631
58,4,6,358.316,266.779,24.854,-20.368,-8.099,-6.671
59,5,6,388.684,266.917,55.222,-20.506,-18.037,-6.712
60,6,6,419.164,266.940,85.703,-20.529,-27.976,-6.752
61,7,6,449.498,267.252,116.036,-20.841,-37.915,-6.792
62,8,6,480.061,267.633,146.600,-21.222,-47.854,-6.832
