corner_index,col,row,pixel_x,pixel_y,x_px,y_px,x_mm,y_mm
0,0,0,265.567,57.188,-54.433,182.812,48.751,40.636
1,1,0,290.587,73.365,-29.413,166.635,38.751,40.636
2,2,0,315.604,89.824,-4.396,150.176,28.751,40.636
3,3,0,340.739,106.109,20.739,133.891,18.751,40.636
4,4,0,366.181,122.849,46.181,117.151,8.751,40.636
5,5,0,391.555,139.347,71.555,100.653,-1.249,40.636
6,6,0,416.858,156.078,96.858,83.922,-11.249,40.636
7,7,0,442.452,172.661,122.452,67.339,-21.249,40.636
8,8,0,467.937,189.484,147.937,50.516,-31.249,40.636
9,0,1,248.917,82.270,-71.083,157.730,48.751,30.636
10,1,1,273.850,98.656,-46.150,141.344,38.751,30.636
11,2,1,298.850,114.969,-21.150,125.031,28.751,30.636
12,3,1,324.002,131.587,4.002,108.413,18.751,30.636
13,4,1,349.193,148.300,29.193,91.700,8.751,30.636
14,5,1,374.732,164.970,54.732,75.030,-1.249,30.636
15,6,1,399.943,181.388,79.943,58.612,-11.249,30.636
16,7,1,425.443,198.268,105.443,41.732,-21.249,30.636
17,8,1,450.925,214.742,130.925,25.258,-31.249,30.636
18,0,2,232.231,107.291,-87.769,132.709,48.751,20.636
19,1,2,257.200,123.620,-62.800,116.380,38.751,20.636
20,2,2,282.142,140.179,-37.858,99.821,28.751,20.636
21,3,2,307.243,156.609,-12.757,83.391,18.751,20.636
22,4,2,332.629,173.454,12.629,66.546,8.751,20.636
23,5,2,357.899,189.944,37.899,50.056,-1.249,20.636
24,6,2,383.244,206.728,63.244,33.272,-11.249,20.636
25,7,2,408.616,223.378,88.616,16.622,-21.249,20.636
26,8,2,434.094,240.248,114.094,-0.248,-31.249,20.636
27,0,3,215.376,132.114,-104.624,107.886,48.751,10.636
28,1,3,240.424,148.646,-79.576,91.354,38.751,10.636
29,2,3,265.404,165.128,-54.596,74.872,28.751,10.636
30,3,3,290.471,181.749,-29.529,58.251,18.751,10.636
31,4,3,315.792,198.462,-4.208,41.538,8.751,10.636
32,5,3,341.108,215.242,21.108,24.758,-1.249,10.636
33,6,3,366.431,231.847,46.431,8.153,-11.249,10.636
34,7,3,391.881,248.712,71.881,-8.712,-21.249,10.636
35,8,3,417.178,265.406,97.178,-25.406,-31.249,10.636
36,0,4,198.437,157.451,-121.563,82.549,48.751,0.636
37,1,4,223.443,173.907,-96.557,66.093,38.751,0.636
38,2,4,248.489,190.533,-71.511,49.467,28.751,0.636
39,3,4,273.557,207.115,-46.443,32.885,18.751,0.636
40,4,4,298.902,224.035,-21.098,15.965,8.751,0.636
41,5,4,324.167,240.595,4.167,-0.595,-1.249,0.636
42,6,4,349.490,257.441,29.490,-17.441,-11.249,0.636
43,7,4,374.878,274.162,54.878,-34.162,-21.249,0.636
44,8,4,400.322,291.046,80.322,-51.046,-31.249,0.636
45,0,5,181.882,182.459,-138.118,57.541,48.751,-9.364
46,1,5,206.841,199.171,-113.159,40.829,38.751,-9.364
47,2,5,231.877,215.625,-88.123,24.375,28.751,-9.364
48,3,5,256.967,232.412,-63.033,7.588,18.751,-9.364
49,4,5,282.262,249.066,-37.738,-9.066,8.751,-9.364
50,5,5,307.408,265.793,-12.592,-25.793,-1.249,-9.364
51,6,5,332.646,282.504,12.646,-42.504,-11.249,-9.364
52,7,5,358.095,299.440,38.095,-59.440,-21.249,-9.364
53,8,5,383.410,316.161,63.410,-76.161,-31.249,-9.364
54,0,6,165.686,207.676,-154.314,32.324,48.751,-19.364
55,1,6,190.590,224.161,-129.410,15.839,38.751,-19.364
56,2,6,215.533,240.777,-104.467,-0.777,28.751,-19.364
57,3,6,240.444,257.348,-79.556,-17.348,18.751,-19.364
58,4,6,265.687,274.178,-54.313,-34.178,8.751,-19.364
59,5,6,290.777,290.738,-29.223,-50.738,-1.249,-19.364
60,6,6,315.975,307.614,-4.025,-67.614,-11.249,-19.364
61,7,6,341.282,324.367,21.282,-84.367,-21.249,-19.364
62,8,6,366.575,341.291,46.575,-101.291,-31.249,-19.364
